2019,Albania,Ktheju Tok‘s,Jonida Maliqi,North Macedonia,F
2019,Armenia,Walking Out,Srbuk,Sweden,SF
2019,Australia,Zero Gravity,Kate Miller-Heidke,Sweden,F
2019,Austria,Limits,Paenda,North Macedonia,SF
2019,Azerbaijan,Truth,Chingiz,Russia,F
2019,Belarus,Like It,Zena,Malta,F
2019,Belgium,Wake Up,Eliot,Italy,SF
2019,Croatia,The Dream,Roko,Italy,SF
2019,Cyprus,Replay,Tamta,Greece,F
2019,Czech Republic,Friend of a Friend,Lake Malawi,Sweden,F
2019,Denmark,Love Is Forever,Leonora,Sweden,F
2019,Estonia,Storm,Victor Crone,Sweden,F
2019,Finland,Look Away,Darude feat. Sebastian Rejman,Sweden,SF
2019,France,Roi,Bilal Hassani,Netherlands,F
2019,Georgia,Keep on Going,Oto Nemsadze,Czech Republic,SF
2019,Germany,Sister,Sisters,Italy,F
2019,Greece,Better Love,Katerine Duska,Cyprus,F
2019,Hungary,Az Žn ap‡m,Joci P‡pai,Czech Republic,SF
2019,Iceland,Hatri_ mun sigra,Hatari,Sweden,F
2019,Ireland,22,Sarah McTernan,Sweden,SF
2019,Israel,Home,Kobi Marimi,Netherlands,F
2019,Italy,Soldi,Mahmood,Denmark,F
2019,Latvia,That Night,Carousel,Netherlands,SF
2019,Lithuania,Run with the Lions,Jurij Veklenko,Netherlands,SF
2019,Malta,Chameleon,Michela Pace,Italy,F
2019,Moldova,Stay,Anna Odobescu,North Macedonia,SF
2019,Montenegro,Heaven,D mol,Serbia,SF
2019,Netherlands,Arcade,Duncan Laurence,Sweden,W
2019,North Macedonia,Proud,Tamara Todevska,Italy,F
2019,Norway,Spirit in the Sky,KEiiNO,Czech Republic,F
2019,Poland,Fire of Love (Pali Si_),Tulia,Australia,SF
2019,Portugal,Telem—veis,Conan Osiris,Netherlands,SF
2019,Romania,On a Sunday,Ester Peony,Australia,SF
2019,Russia,Scream,Sergey Lazarev,Azerbaijan,F
2019,San Marino,Say Na Na Na,Serhat,Italy,F
2019,Serbia,Kruna,Nevena Bo_ovi_ ,North Macedonia,F
2019,Slovenia,Sebi,Zala Kralj & Ga_per _antl,Czech Republic,F
2019,Spain,La Venda,Miki,Sweden,F
2019,Sweden,Too Late for Love,John Lundvik,Netherlands,F
2019,Switzerland,She Got Me,Luca Hanni,North Macedonia,F
2019,United Kingdom,Bigger Than Us,Michael Rice,North Macedonia,F
